Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
G24479,T9068821090,983333,2967982,STEVEN RANDALL JACKSON,ComposerLyricist
A5303N,T9033808058,978127,294640249,CELIK ERISCI,Composer
RA8A02,,943538,293183255,OLUWAFEMI AGOLABI OLASEHINDE,Composer
I19488,T0714971615,892737,742116471,CAPITOL CMG AMPLIFIER,RightsAdministrator
JV7SRN,,873084,567521924,BMG RIGHTS MANAGEMENT GMBH (GE,OriginalPublisher
G24479,T9068821090,883806,801148773,WARNER BROS MUSIC A DIV OF WARNER BROS INC.,RightsAdministrator
HVB3ZQ,,905415,463700859,TRUELOVE MUSIC INTERNATIONAL,RightsAdministrator
M5890I,,1208252,275180070,BIHARI VINAY,Composer
SVEVXM,T8039658942,873084,567521924,BMG RIGHTS MANAGEMENT GMBH (GE,OriginalPublisher
L5136S,T0114186876,1652889,,TOM ROBINSON,ComposerLyricist
PA2Y4D,T9262808195,2839396,,MUST SAVE JANE,OriginalPublisher
BA4AN8,,378402,433076085,FAT MAMA PUBLISHING CC,OriginalPublisher
BVCDI9,,2309424,,CARLO RUETZ,Composer
D5002E,,2537536,471920258,LOUISE EVA FAELT,Composer
SH9S46,T0020716066,2349942,32926392,MOSHE WILENSKY,Composer
L5607W,T0701023962,2946103,126984153,C ISAAK MUSIC PUB COMP,OriginalPublisher
L3240P,,3862463,283690732,MARK SAMS,Composer
VB0K5R,T0399417389,3909024,701367766,MARCELLO HENRIQUE DAMASIO SOUSA,ComposerLyricist
BA4AN8,,4552931,694961684,MALVERN SIBANDA,Composer
DB19DT,,430467,,ZACHARY SCOTT POOR,ComposerLyricist
SVEVXM,T8039658942,1599596,,MMINX,ComposerLyricist
Z1167T,,1529230,354077266,KENNETH WARD LOVELL JR.,Composer
M5859M,,1779943,,BHAI TARBALBIR SINGH JI,Composer
IC8Z82,T0025738617,1774655,33527302,YOCHANAN ZARAI,Composer
